episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
1.035599946975708,0.0,0.08701817826791243,956.5,2,2,22000,22000,False,22,11,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-49-13,1774936153,6.193037986755371,68.2917423248291,171136,TUF,10.20.49.10,68.2917423248291,0,11,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.031362166941708,0.34233275824728787,0.015172409901934835,4.24451526422898,0.0,4608.605,433.971,1569.91,1273.958,0.599,22000,22000,22000,8.422222222222222,24.77777777777778,0.0,0.30000000000000004,5e-05,-0.10537945938995108,-0.11036830436205491,1.8792066100559168e-05,-0.8318614,0.01656684430781752,3.1252446323633194,0.0
1.035599946975708,0.0,0.07976666341225307,960.125,2,2,24000,24000,False,24,12,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-49-20,1774936160,6.20527982711792,74.49702215194702,171136,TUF,10.20.49.10,74.49702215194702,0,12,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.03135747331890073,0.34184362743925695,0.015174306277281127,4.240553237391494,0.0,4604.775,434.332,1576.735,1268.444,0.565,24000,24000,24000,8.666666666666666,24.666666666666668,0.0,0.30000000000000004,5e-05,-0.11582449893467128,-0.12088899128139019,1.1310728268654202e-05,-1.0,0.01684393477626145,3.102279171347618,0.0
1.9636000394821167,0.0,0.14362962819911815,928.1851851851852,3,2,26000,26000,False,27,13,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-49-26,1774936166,6.242468595504761,80.73949074745178,171136,TUF,10.20.49.10,80.73949074745178,0,13,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9636000394821167]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 18]",0.03135341248431483,0.3410546822201383,0.015174878557340243,4.235552287469409,0.0,4601.641,434.628,1579.052,1266.583,0.562,26000,26000,26000,8.977777777777776,24.577777777777776,0.0,0.30000000000000004,5e-05,-0.013086976890917867,-0.027754649403505027,0.014028545148903504,-0.05406694,0.0021304351175785996,3.108432710170746,0.0
1.9636000394821167,0.0,0.13372413659917898,933.1379310344828,2,2,28000,28000,False,29,14,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-49-32,1774936172,6.190326929092407,86.92981767654419,171136,TUF,10.20.49.10,86.92981767654419,0,14,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9636000394821167, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000]",0.03135618062778634,0.34072079058813404,0.015177679010195023,4.2324687943994235,0.0,4603.952,434.409,1576.726,1268.451,0.555,28000,28000,28000,8.966666666666669,25.455555555555556,0.0,0.15000000000000002,5e-05,-0.0955940498970449,-0.10120888438541442,0.0029883448005421087,0.289845,0.017509941942989826,3.080296128988266,0.0
1.9636000394821167,0.0,0.12509677294761903,937.4516129032259,2,2,30000,30000,False,31,15,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-49-38,1774936178,6.211151599884033,93.14096927642822,171136,TUF,10.20.49.10,93.14096927642822,0,15,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9636000394821167, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000, 1000, 1000]",0.031357151849738536,0.3403986724567341,0.015179851133928746,4.229674138990428,0.0,4608.035,434.024,1578.813,1266.774,0.559,30000,30000,30000,8.422222222222222,25.522222222222222,0.0,0.15000000000000002,5e-05,-0.1278359955176711,-0.1313101784326136,0.00015188767338258913,-0.9888965,0.02214863069821149,3.093123123049736,0.0
1.9636000394821167,0.0,0.11751515034473303,941.2424242424242,2,2,32000,32000,False,33,16,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-49-45,1774936185,6.252472877502441,99.39344215393066,171136,TUF,10.20.49.10,99.39344215393066,0,16,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9636000394821167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000, 1000, 1000, 1000, 1000]",0.03135432680195965,0.34007342576668725,0.015181173430724906,4.227277232830693,0.0,4615.452,433.327,1577.893,1267.513,0.562,32000,32000,32000,8.455555555555556,25.644444444444442,0.0,0.22500000000000003,5e-05,-0.12795363104669377,-0.13270958175417036,6.995566627665539e-05,-1.0,0.020826638326980174,3.0502896904945374,0.0
1.9636000394821167,-2.0,0.05216666559378306,927.8611111111111,3,2,34000,34000,False,36,17,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-49-51,1774936191,6.181917190551758,105.57535934448242,171136,TUF,10.20.49.10,105.57535934448242,0,17,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9636000394821167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 342]",0.03135498474275027,0.33953253688382107,0.015181495860391657,4.224287996300119,0.0,4617.178,433.165,1575.397,1269.521,0.562,34000,34000,34000,9.2,25.625,0.0,0.3375,5e-05,-0.03565930528566241,-0.08056113228667527,0.04093082272447646,0.5290552,0.011765938077587634,3.015343338251114,0.0
1.9636000394821167,-2.0,0.0494210516151629,931.6578947368421,2,2,36000,36000,False,38,18,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-49-57,1774936197,6.202548265457153,111.77790760993958,171136,TUF,10.20.49.10,111.77790760993958,0,18,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9636000394821167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 342, 1000, 1000]",0.03135918813899097,0.33929112478476225,0.015183476482801618,4.222465502770033,0.0,4618.093,433.079,1578.558,1266.979,0.569,36000,36000,36000,8.444444444444445,25.622222222222224,0.0,0.3375,5e-05,-0.11605660425266251,-0.12381490261759609,0.0017304456341662444,-0.9851119,0.017860306543298066,3.004266783595085,0.0
1.9636000394821167,-2.0,0.046949999034404756,935.075,2,2,38000,38000,False,40,19,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-50-03,1774936203,6.238112926483154,118.01602053642273,171136,TUF,10.20.49.10,118.01602053642273,0,19,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9636000394821167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 342, 1000, 1000, 1000, 1000]",0.0313637517783379,0.3390675184945712,0.015185488258994897,4.22082546199479,0.0,4623.461,432.576,1580.097,1265.745,0.581,38000,38000,38000,8.477777777777778,25.61111111111111,0.0,0.3375,5e-05,-0.10737462958786637,-0.11412730487063527,0.0007734307000646368,-0.6609684,0.017716283909976482,2.9828044176101685,0.0
1.9636000394821167,-2.0,0.0447142847946712,938.1666666666666,2,2,40000,40000,False,42,20,868c94641ea24c3aa3dd8b64a386df9b,2026-03-31_01-50-09,1774936209,6.191141128540039,124.20716166496277,171136,TUF,10.20.49.10,124.20716166496277,0,20,2f1cf_00000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.035599946975708, 0.8787999749183655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9636000394821167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 482, 561, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 18, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 342, 1000, 1000, 1000, 1000, 1000, 1000]",0.03136664090381979,0.3388518321980887,0.015186957993197006,4.219346723807054,0.0,4622.911,432.628,1579.713,1266.052,0.581,40000,40000,40000,8.422222222222222,25.58888888888889,0.0,0.3375,5e-05,-0.1114595141261816,-0.11730617959983647,0.00017339111127512297,-1.0,0.016809710767120123,2.959254190325737,0.0
